Genus,Species,GenusSpecies,COMMONNAME,Common,Combined
Catalpa,speciosa,Catalpa speciosa,Northern catalpa,"Catalpa, Northern",Northern catalpa/Catalpa speciosa
Catalpa,spp.,Catalpa spp.,Catalpa species,"Catalpa, Species",Catalpa species/Catalpa spp.
Celastrus,orbiculatus,Celastrus orbiculatus,Oriental bittersweet,"Bittersweet, Oriental",Oriental bittersweet/Celastrus orbiculatus
Celtis,laevigata,Celtis laevigata,Sugarberry,"Hackberry, Sugarberry",Sugarberry/Celtis laevigata
Celtis,occidentalis,Celtis occidentalis,Eastern hackberry,"Hackberry, Eastern",Eastern hackberry/Celtis occidentalis
Celtis,spp.,Celtis spp.,Hackberry species,"Hackberry, Species",Hackberry species/Celtis spp.
Cercidiphyllum,japonicum,Cercidiphyllum japonicum,Katsura tree,Katsura,Katsura tree/Cercidiphyllum japonicum
Cercis,canadensis,Cercis canadensis,Eastern redbud,"Redbud, Eastern",Eastern redbud/Cercis canadensis
Cercis,occidentalis,Cercis occidentalis,Western redbud,"Redbud, Western",Western redbud/Cercis occidentalis
Cercis,spp.,Cercis spp.,Redbud species,"Redbud, Species",Redbud species/Cercis spp.
Chamaecyparis,obtusa,Chamaecyparis obtusa,Hinoki-cypress,"Cypress, Hinoki",Hinoki-cypress/Chamaecyparis obtusa
Chamaecyparis,spp.,Chamaecyparis spp.,Chamaecyparis species,"Cypress, Species",Chamaecyparis species/Chamaecyparis spp.
Chionanthus,virginicus,Chionanthus virginicus,White fringetree,"Fringetree, White",White fringetree/Chionanthus virginicus
Cladrastis,kentukea,Cladrastis kentukea,Yellowwood,Yellowwood,Yellowwood/Cladrastis kentukea
Cornus,alternifolia,Cornus alternifolia,Pagoda dogwood,"Dogwood, Pagoda",Pagoda dogwood/Cornus alternifolia
Cornus,florida,Cornus florida,Flowering dogwood,"Dogwood, Flowering",Flowering dogwood/Cornus florida
Cornus,kousa,Cornus kousa,Kousa dogwood,"Dogwood, Kousa",Kousa dogwood/Cornus kousa
Cornus,mas,Cornus mas,Cornelian cherry dogwood,"Dogwood, Cornelian cherry",Cornelian cherry dogwood/Cornus mas
Cornus,racemosa,Cornus racemosa,Gray dogwood,"Dogwood, Gray",Gray dogwood/Cornus racemosa
